year,city,country,avg_temp
1840,Luoyang,China,17.33
1841,Luoyang,China,16.59
1842,Luoyang,China,17.09
1843,Luoyang,China,17.17
1844,Luoyang,China,16.95
1845,Luoyang,China,16.92
1846,Luoyang,China,17.50
1847,Luoyang,China,17.23
1848,Luoyang,China,16.80
1849,Luoyang,China,17.03
1850,Luoyang,China,17.00
1851,Luoyang,China,16.98
1852,Luoyang,China,17.01
1853,Luoyang,China,17.44
1854,Luoyang,China,17.50
1855,Luoyang,China,17.18
1856,Luoyang,China,16.78
1857,Luoyang,China,17.11
1858,Luoyang,China,17.09
1859,Luoyang,China,17.33
1860,Luoyang,China,16.88
1861,Luoyang,China,16.86
1862,Luoyang,China,16.26
1863,Luoyang,China,17.00
1864,Luoyang,China,16.62
1865,Luoyang,China,17.42
1866,Luoyang,China,17.25
1867,Luoyang,China,17.61
1868,Luoyang,China,17.60
1869,Luoyang,China,17.65
1870,Luoyang,China,17.52
1871,Luoyang,China,17.51
1872,Luoyang,China,17.56
1873,Luoyang,China,17.38
1874,Luoyang,China,17.49
1875,Luoyang,China,17.38
1876,Luoyang,China,17.21
1877,Luoyang,China,17.21
1878,Luoyang,China,17.34
1879,Luoyang,China,17.53
1880,Luoyang,China,16.83
1881,Luoyang,China,17.22
1882,Luoyang,China,17.18
1883,Luoyang,China,16.84
1884,Luoyang,China,16.45
1885,Luoyang,China,16.59
1886,Luoyang,China,16.71
1887,Luoyang,China,17.00
1888,Luoyang,China,17.29
1889,Luoyang,China,17.13
1890,Luoyang,China,17.51
1891,Luoyang,China,17.46
1892,Luoyang,China,16.97
1893,Luoyang,China,16.77
1894,Luoyang,China,17.42
1895,Luoyang,China,16.98
1896,Luoyang,China,17.27
1897,Luoyang,China,17.22
1898,Luoyang,China,17.61
1899,Luoyang,China,17.41
1900,Luoyang,China,17.23
1901,Luoyang,China,17.26
1902,Luoyang,China,17.99
1903,Luoyang,China,17.19
1904,Luoyang,China,17.21
1905,Luoyang,China,16.86
1906,Luoyang,China,17.12
1907,Luoyang,China,17.35
1908,Luoyang,China,17.21
1909,Luoyang,China,17.43
1910,Luoyang,China,16.98
1911,Luoyang,China,17.04
1912,Luoyang,China,17.12
1913,Luoyang,China,17.18
1914,Luoyang,China,17.95
1915,Luoyang,China,17.57
1916,Luoyang,China,17.06
1917,Luoyang,China,16.86
1918,Luoyang,China,16.93
1919,Luoyang,China,17.63
1920,Luoyang,China,17.57
1921,Luoyang,China,17.39
1922,Luoyang,China,17.74
1923,Luoyang,China,17.67
1924,Luoyang,China,17.62
1925,Luoyang,China,17.39
1926,Luoyang,China,17.58
1927,Luoyang,China,17.63
1928,Luoyang,China,18.03
1929,Luoyang,China,17.68
1930,Luoyang,China,17.51
1931,Luoyang,China,17.48
1932,Luoyang,China,17.72
1933,Luoyang,China,17.63
1934,Luoyang,China,17.22
1935,Luoyang,China,17.76
1936,Luoyang,China,17.13
1937,Luoyang,China,17.68
1938,Luoyang,China,17.99
1939,Luoyang,China,17.89
1940,Luoyang,China,18.02
1941,Luoyang,China,18.28
1942,Luoyang,China,18.19
1943,Luoyang,China,17.96
1944,Luoyang,China,17.69
1945,Luoyang,China,17.80
1946,Luoyang,China,18.46
1947,Luoyang,China,17.64
1948,Luoyang,China,18.10
1949,Luoyang,China,18.09
1950,Luoyang,China,17.85
1951,Luoyang,China,17.66
1952,Luoyang,China,17.96
1953,Luoyang,China,18.10
1954,Luoyang,China,17.48
1955,Luoyang,China,17.71
1956,Luoyang,China,17.25
1957,Luoyang,China,17.44
1958,Luoyang,China,17.77
1959,Luoyang,China,18.16
1960,Luoyang,China,18.04
1961,Luoyang,China,18.30
1962,Luoyang,China,17.76
1963,Luoyang,China,17.86
1964,Luoyang,China,17.53
1965,Luoyang,China,18.05
1966,Luoyang,China,18.33
1967,Luoyang,China,17.56
1968,Luoyang,China,17.88
1969,Luoyang,China,17.30
1970,Luoyang,China,17.52
1971,Luoyang,China,17.58
1972,Luoyang,China,17.64
1973,Luoyang,China,18.09
1974,Luoyang,China,17.58
1975,Luoyang,China,17.90
1976,Luoyang,China,17.30
1977,Luoyang,China,18.15
1978,Luoyang,China,18.08
1979,Luoyang,China,17.96
1980,Luoyang,China,17.75
1981,Luoyang,China,17.91
1982,Luoyang,China,17.90
1983,Luoyang,China,17.78
1984,Luoyang,China,17.14
1985,Luoyang,China,17.44
1986,Luoyang,China,17.87
1987,Luoyang,China,18.28
1988,Luoyang,China,17.75
1989,Luoyang,China,17.83
1990,Luoyang,China,18.23
1991,Luoyang,China,17.92
1992,Luoyang,China,17.61
1993,Luoyang,China,17.53
1994,Luoyang,China,18.32
1995,Luoyang,China,17.91
1996,Luoyang,China,17.67
1997,Luoyang,China,18.19
1998,Luoyang,China,18.78
1999,Luoyang,China,18.63
2000,Luoyang,China,18.19
2001,Luoyang,China,18.33
2002,Luoyang,China,18.69
2003,Luoyang,China,18.09
2004,Luoyang,China,18.44
2005,Luoyang,China,18.12
2006,Luoyang,China,18.67
2007,Luoyang,China,18.69
2008,Luoyang,China,18.10
2009,Luoyang,China,18.43
2010,Luoyang,China,18.23
2011,Luoyang,China,17.93
2012,Luoyang,China,18.11
2013,Luoyang,China,19.58
